Name,log_lambda,dlog_lambda,delta_tau,omega,D,flux
Horologium 2,-8.934245313917955,0.98,9926.237948407526,12.433979929054322,0.08,0.0
Reticulum 2,-9.766182778462516,0.98,1395.8772114948083,88.41941282883074,0.03,0.0
Eridanus 2,-6.077820286367268,0.98,201006.31845525242,0.6140237002002135,0.36,0.0
Pictoris 1,-8.407639917585394,0.98,18766.793621207977,6.57665054098741,0.11,0.0
Carina,-7.420425287901842,0.48,15509.746794386765,7.957747154594767,0.1,0.0
DDO044,-2.86824276979048,0.36,3489693.02873702,0.007722893949587803,3.21,0.0
KK70,-2.11824276979048,0.48,3489693.02873702,0.0009220589930947394,9.29,0.0
KK72,-2.04824276979048,0.48,3489693.02873702,0.0008285867507907919,9.8,0.0
NGC2784 dw01,-1.6782427697904798,0.98,3489693.02873702,0.0008285867507907919,9.8,0.0
UGC05086,-2.1982427697904803,0.48,3489693.02873702,0.001004639206488419,8.9,0.0
[CKT2009]d0934+70,-2.49824276979048,0.48,3489693.02873702,0.008725217265245786,3.02,0.0
[CKT2009]d0944+69,-4.23824276979048,0.98,3489693.02873702,0.005396692677540939,3.84,0.0
F8D1,-2.1482427697904796,0.48,3489693.02873702,0.005658842421045168,3.75,0.0
FM1,-2.74824276979048,0.48,3489693.02873702,0.005569375965534817,3.78,0.0
KK77,-2.5982427697904797,0.48,3489693.02873702,0.005510905231713828,3.8,0.0
[CKT2009]d0955+70,-3.63824276979048,0.98,3489693.02873702,0.00668577790766206,3.45,0.0
KKSG16,-2.24824276979048,0.98,3489693.02873702,0.0008457590769045348,9.7,0.0
KKH57,-2.86824276979048,0.48,3489693.02873702,0.005876171989156107,3.68,0.0
BK5N,-3.0682427697904795,0.36,3489693.02873702,0.005812817497877843,3.7,0.0
KDG063,-1.9882427697904803,0.48,3489693.02873702,0.005973163561339665,3.65,0.0
KDG065,-2.20824276979048,0.48,3489693.02873702,0.0008457590769045348,9.7,0.0
[CKT2009]d1006+67,-3.8082427697904797,0.98,3489693.02873702,0.006106266184724463,3.61,0.0
KDG064,-2.70824276979048,0.36,3489693.02873702,0.005658842421045168,3.75,0.0
Segue 1,-10.66836529657388,0.98,620.3898717754704,198.94367886486916,0.02,0.0
IKN,-2.62824276979048,0.48,3489693.02873702,0.005658842421045168,3.75,0.0
SexDSph,-7.691940269023193,0.48,12562.894903453276,9.824379203203415,0.09,0.0
DDO078,-2.74824276979048,0.36,3489693.02873702,0.006571002736982071,3.48,0.0
BK6N,-2.86824276979048,0.48,3489693.02873702,0.007263302776165577,3.31,0.0
UMa I,-7.620425287901842,0.98,15509.746794386765,7.957747154594767,0.1,0.0
LeG14,-2.54824276979048,0.98,3489693.02873702,0.0007357384573404925,10.4,0.0
KK93,-2.25824276979048,0.98,3489693.02873702,0.0007357384573404925,10.4,0.0
KK96,-2.2782427697904795,0.48,3489693.02873702,0.0007357384573404925,10.4,0.0
LSBC D640-08,-2.3182427697904795,0.48,3489693.02873702,0.0007357384573404925,10.4,0.0
LeoII,-6.354545270557767,0.48,96935.91746491725,1.2732395447351628,0.25,0.0
LeoV,-7.51988027769523,0.98,50251.57961381312,2.456094800800854,0.18,0.0
LeoIV,-7.692185322589993,0.48,39704.951793630105,3.1084949822635806,0.16,0.0
Crater,-6.969527445145294,0.98,44823.16823577775,2.7535457282334828,0.17,0.0
Crater 2,-6.492062795806593,0.98,22334.035383916933,5.5262133018019215,0.12,0.0
BTS116,-2.29824276979048,0.98,3489693.02873702,0.005074576034712508,3.96,0.0
KK134,-2.16824276979048,0.48,3489693.02873702,0.0013562276575944288,7.66,0.0
d1219+4705,-2.78824276979048,0.98,3489693.02873702,0.0013562276575944288,7.66,0.0
[KKH2011]S11,-2.5582427697904797,0.48,3489693.02873702,0.0013562276575944288,7.66,0.0
KK136,-2.3482427697904797,0.98,3489693.02873702,0.0013562276575944288,7.66,0.0
d1220+4649,-2.8082427697904797,0.48,3489693.02873702,0.0013562276575944288,7.66,0.0
BTS132,-2.70824276979048,0.48,3489693.02873702,0.0013562276575944288,7.66,0.0
ComaI,-9.056305305245917,0.98,2481.5594871018816,49.73591971621729,0.04,0.0
KKSG31,-2.21824276979048,0.98,3489693.02873702,0.0008725360768174958,9.55,0.0
N4594-DGSAT-3,-2.70824276979048,0.98,3489693.02873702,0.0008725360768174958,9.55,0.0
Sombrero DwA,-3.11824276979048,0.98,3489693.02873702,0.0008725360768174958,9.55,0.0
KKSG32,-2.53824276979048,0.48,3489693.02873702,0.0008725360768174958,9.55,0.0
KKSG33,-2.50824276979048,0.98,3489693.02873702,0.0008725360768174958,9.55,0.0
Sombrero DwB,-2.9082427697904802,0.98,3489693.02873702,0.0008725360768174958,9.55,0.0
KKSG34,-2.29824276979048,0.98,3489693.02873702,0.0008725360768174958,9.55,0.0
NGC4627,-1.04824276979048,0.36,3489693.02873702,0.0014932908903349162,7.3,0.0
KK166,-2.6982427697904803,0.48,3489693.02873702,0.004129154142306634,4.39,0.0
ESO219-010,-1.1582427697904798,0.48,3489693.02873702,0.004323899106500599,4.29,0.0
KDG216,-2.3182427697904795,0.98,3489693.02873702,0.002210485320720769,6.0,0.0
CVnII,-7.312185322589993,0.48,39704.951793630105,3.1084949822635806,0.16,0.0
[KK2000] 53,-2.63824276979048,0.98,3489693.02873702,0.009333068064593225,2.92,0.0
KK189,-2.61824276979048,0.98,3489693.02873702,0.004447432867000187,4.23,0.0
KK197,-1.9882427697904803,0.98,3489693.02873702,0.005396692677540939,3.84,0.0
[KK2000] 55,-2.28824276979048,0.98,3489693.02873702,0.005368694319173395,3.85,0.0
KK198,-2.2282427697904796,0.48,3489693.02873702,0.0033143470031631677,4.9,0.0
AM1320-230,-2.24824276979048,0.48,3489693.02873702,0.0033143470031631677,4.9,0.0
CVnI,-5.68557992625743,0.98,75067.17448483194,1.6441626352468526,0.22,0.0
NGC5206,-1.12824276979048,0.98,3489693.02873702,0.007722893949587803,3.21,0.0
KK208,-2.6482427697904796,0.48,3489693.02873702,0.0031704045619717724,5.01,0.0
[KK2000] 57,-2.82824276979048,0.98,3489693.02873702,0.005396692677540939,3.84,0.0
KK213,-2.57824276979048,0.98,3489693.02873702,0.005598960911984722,3.77,0.0
[KK2000] 58,-2.8982427697904796,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
KK217,-2.88824276979048,0.98,3489693.02873702,0.00649612012619981,3.5,0.0
KK218,-2.6982427697904803,0.98,3489693.02873702,0.003260890669653152,4.94,0.0
CenN,-2.78824276979048,0.98,3489693.02873702,0.005940567913788682,3.66,0.0
BootesIII,-7.792485279229805,0.98,3877.4366985966894,31.830988618379067,0.05,0.0
UMin,-7.124122787134556,0.98,5583.508845979231,22.104853207207686,0.06,0.0
Hercules,-6.73824276979048,0.98,34896.930287370225,3.53677651315323,0.15,0.0
Draco,-6.214245313917956,0.98,9926.237948407526,12.433979929054322,0.08,0.0
Sag dSph,-5.82836529657388,0.98,620.3898717754704,198.94367886486916,0.02,0.0
Kim2,-8.380425287901842,0.98,15509.746794386765,7.957747154594767,0.1,0.0
Segue 3,-10.71836529657388,0.98,620.3898717754704,198.94367886486916,0.02,0.0
KK258,-2.46824276979048,0.36,3489693.02873702,0.015859668276855,2.24,0.0
Tucana 2,-8.724122787134554,0.98,5583.508845979231,22.104853207207686,0.06,0.0
Grus 1,-8.302062795806592,0.98,22334.035383916933,5.5262133018019215,0.12,0.0
Lac I,-3.358798103340259,0.98,895842.9748437792,0.1377726307928457,0.76,0.0
PiscesII,-7.23988027769523,0.36,50251.57961381312,2.456094800800854,0.18,0.0
ApplesI,-3.86824276979048,0.98,3489693.02873702,0.0011495913395945195,8.32,0.0
Cas dSph,-4.052797583134408,0.48,1042875.3744545652,0.11834841098445521,0.82,0.0
Phoenix 2,-8.884245313917955,0.98,9926.237948407526,12.433979929054322,0.08,0.0
Peg dSph,-4.352797583134409,0.48,1042875.3744545652,0.11834841098445521,0.82,0.0
And XXI,-4.261428385414707,0.98,1147100.8729128446,0.10759528332334732,0.86,0.0
PAndAS-01,-4.956236082520881,0.98,943612.9949704905,0.13079794797164312,0.78,0.0
PAndAS-02,-5.246236082520881,0.98,943612.9949704905,0.13079794797164312,0.78,0.0
And XVII,-4.20196184843989,0.36,849313.7344606189,0.14532043744694606,0.74,0.0
NGC0205,-1.5542453139179553,0.48,992623.7948407525,0.12433979929054323,0.8,0.0
MESSIER032,-2.8851711053209597,0.36,967963.297437678,0.12750756536764565,0.79,0.0
Scl-MM-Dw2,-2.7382427697904803,0.98,3489693.02873702,0.008174871748227695,3.12,0.0
Cetus III,-8.034545270557768,0.98,96935.91746491725,1.2732395447351628,0.25,0.0
UGC01703,-2.5682427697904795,0.48,3489693.02873702,0.0042838632191874336,4.31,0.0
Triangulum II,-10.106182778462516,0.98,1395.8772114948083,88.41941282883074,0.03,0.0
Perseus I,-3.865171105320959,0.98,967963.297437678,0.12750756536764565,0.79,0.0
Pictor II,-8.972485279229804,0.98,3877.4366985966894,31.830988618379067,0.05,0.0
MADCASH J0742+65dw,-4.258242769790479,0.98,3489693.02873702,0.006924536990275726,3.39,0.0
UMa II,-10.026182778462516,0.48,1395.8772114948083,88.41941282883074,0.03,0.0
N2683dw2,-2.96824276979048,0.98,3489693.02873702,0.0008252150889737026,9.82,0.0
KSP-DW3,-1.8682427697904802,0.98,3489693.02873702,0.0008252150889737026,9.82,0.0
KSP-DW6,-3.11824276979048,0.98,3489693.02873702,0.0008252150889737026,9.82,0.0
KSP-DW13,-2.2382427697904803,0.98,3489693.02873702,0.0008252150889737026,9.82,0.0
KSP-DW14,-2.25824276979048,0.98,3489693.02873702,0.0008252150889737026,9.82,0.0
KSP-DW15,-2.2682427697904797,0.98,3489693.02873702,0.0008252150889737026,9.82,0.0
NGC2784,1.0417572302095202,0.36,3489693.02873702,0.0008252150889737026,9.82,0.008581005222561635
KSP-DW20,-2.6482427697904796,0.98,3489693.02873702,0.0008252150889737026,9.82,0.0
KSP-DW21,-3.66824276979048,0.98,3489693.02873702,0.0008252150889737026,9.82,0.0
KSP-DW23,-3.79824276979048,0.98,3489693.02873702,0.0008252150889737026,9.82,0.0
d1005+68,-4.198242769790481,0.98,3489693.02873702,0.005023703413168081,3.98,0.0
LeG09,-2.46824276979048,0.98,3489693.02873702,0.0007357384573404925,10.4,0.0
LeG16,-2.66824276979048,0.98,3489693.02873702,0.0007357384573404925,10.4,0.0
NGC3377,0.1917572302095203,0.36,3489693.02873702,0.0007329168359417669,10.42,0.0006923529625766466
Willman1,-9.626305305245918,0.48,2481.5594871018816,49.73591971621729,0.04,0.0
LeG26,-1.66824276979048,0.48,3489693.02873702,0.0007357384573404925,10.4,0.0
KKH65,-2.07824276979048,0.98,3489693.02873702,0.0007957747154594767,10.0,0.0
LeG27,-1.95824276979048,0.48,3489693.02873702,0.0007357384573404925,10.4,0.0
LSBC D640-14,-2.24824276979048,0.48,3489693.02873702,0.0007357384573404925,10.4,0.0
KKH67,-2.46824276979048,0.98,3489693.02873702,0.0007957747154594767,10.0,0.0
PGC4561602,-2.3582427697904795,0.48,3489693.02873702,0.0020371832715762603,6.25,0.0
Virgo I,-9.571940269023191,0.98,12562.894903453276,9.824379203203415,0.09,0.0
PGC4560429,-2.74824276979048,0.98,3489693.02873702,0.0019611520728776144,6.37,0.0
N4258dwC,-2.95824276979048,0.98,3489693.02873702,0.0013562276575944288,7.66,0.0
KDG090,-2.7782427697904795,0.48,3489693.02873702,0.00896102332619563,2.98,0.0
PGC213976,-2.20824276979048,0.48,3489693.02873702,0.0013923439913837042,7.56,0.0
PGC1853813,-1.8282427697904802,0.48,3489693.02873702,0.0012310566499892902,8.04,0.0
Hydra II,-7.682538583288168,0.98,26211.47208251364,4.708726126979152,0.13,0.0
PGC40195,-1.9482427697904803,0.48,3489693.02873702,0.00154362302329179,7.18,0.0
N4258dwB,-2.67824276979048,0.98,3489693.02873702,0.0013562276575944288,7.66,0.0
NGC 4631dw3,-3.2682427697904797,0.98,3489693.02873702,0.0014532043744694607,7.4,0.0
BTS151,-2.3482427697904797,0.98,3489693.02873702,0.0014932908903349162,7.3,0.0
KK177,-2.7682427697904797,0.98,3489693.02873702,0.004110406588117131,4.4,0.0
KK180,-2.7382427697904803,0.98,3489693.02873702,0.004110406588117131,4.4,0.0
CenA-MM-Dw5,-4.5882427697904795,0.98,3489693.02873702,0.00680358670581954,3.42,0.0
CenA-MM-Dw4,-3.1982427697904803,0.98,3489693.02873702,0.005205190412539666,3.91,0.0
NGC5128,1.7417572302095201,0.36,3489693.02873702,0.005876171989156107,3.68,0.32122172743273464
CenA-MM-Dw6,-3.8582427697904795,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1326-29,-3.2282427697904796,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
CenA-MM-Dw7,-3.99824276979048,0.98,3489693.02873702,0.006924536990275726,3.39,0.0
CenA-MM-Dw2,-4.06824276979048,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1330-34,-3.3182427697904795,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
dw1330-33,-3.91824276979048,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
CenA-MM-Dw1,-2.11824276979048,0.98,3489693.02873702,0.006039164867757036,3.63,0.0
CenA-MM-Dw3,-2.21824276979048,0.98,3489693.02873702,0.0037444521504203187,4.61,0.0
CenA-MM-Dw9,-3.1882427697904796,0.98,3489693.02873702,0.005510905231713828,3.8,0.0
CenA-MM-Dw8,-3.62824276979048,0.98,3489693.02873702,0.006608930523959809,3.47,0.0
dw1335-29,-3.3182427697904795,0.98,3489693.02873702,0.0031704045619717724,5.01,0.0
dw1336-32,-2.91824276979048,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
dw1337-26,-3.0282427697904795,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
dw1340-30,-3.2382427697904803,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
dw1341-33,-3.04824276979048,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
KK211,-2.3482427697904797,0.98,3489693.02873702,0.005876171989156107,3.68,0.0
M101Dw9,-3.9482427697904803,0.98,3489693.02873702,0.0016474814253081655,6.95,0.0
KK227,-2.21824276979048,0.98,3489693.02873702,0.0009737630142575243,9.04,0.0
BootesII,-9.936305305245916,0.48,2481.5594871018816,49.73591971621729,0.04,0.0
BootesI,-7.640229207873328,0.98,7599.775929249517,16.24030031549952,0.07,0.0
M101Dw10,-4.438242769790479,0.98,3489693.02873702,0.0016474814253081655,6.95,0.0
M101-df3,-2.83824276979048,0.98,3489693.02873702,0.0018719530172839512,6.52,0.0
M101dwD,-3.13824276979048,0.98,3489693.02873702,0.0016474814253081655,6.95,0.0
M101-dwA,-3.13824276979048,0.98,3489693.02873702,0.0016474814253081655,6.95,0.0
M101Dw7,-3.9782427697904796,0.98,3489693.02873702,0.0016474814253081655,6.95,0.0
M101-df2,-3.36824276979048,0.98,3489693.02873702,0.001686074118129531,6.87,0.0
M101dwB,-3.4882427697904803,0.98,3489693.02873702,0.0016474814253081655,6.95,0.0
M101Dw11,-3.8582427697904795,0.98,3489693.02873702,0.0016474814253081655,6.95,0.0
M101Dw14,-3.8982427697904796,0.98,3489693.02873702,0.0016474814253081655,6.95,0.0
Pegasus III,-7.535986698434004,0.98,68397.98336324558,1.8044778128332806,0.21,0.0
Aquarius 2,-7.927639917585393,0.48,18766.793621207977,6.57665054098741,0.11,0.0
Tucana III,-9.896182778462517,0.98,1395.8772114948083,88.41941282883074,0.03,0.0
And XXIX,-4.89377956766093,0.48,826514.4066728705,0.1493290890334916,0.73,0.0
Cetus,-3.6351711053209597,0.98,967963.297437678,0.12750756536764565,0.79,0.0
NGC0404,0.1917572302095203,0.36,3489693.02873702,0.00896102332619563,2.98,0.008465068263356045
N2146sat,-2.3482427697904797,0.48,3489693.02873702,0.003929751681281367,4.5,0.0
KSP-DW1,-2.29824276979048,0.98,3489693.02873702,0.0008252150889737026,9.82,0.0
KSP-DW17,-1.70824276979048,0.98,3489693.02873702,0.0008252150889737026,9.82,0.0
KK73,-0.7582427697904799,0.48,3489693.02873702,0.0008285867507907919,9.8,0.0
KK74,-1.56824276979048,0.98,3489693.02873702,0.0008252150889737026,9.82,0.0
KSP-DW28,-1.8482427697904797,0.48,3489693.02873702,0.0008252150889737026,9.82,0.0
[CKT2009]d0944+71,-3.4082427697904802,0.48,3489693.02873702,0.006608930523959809,3.47,0.0
KDG061,-2.5282427697904795,0.48,3489693.02873702,0.005940567913788682,3.66,0.0
NGC3115,1.0317572302095201,0.48,3489693.02873702,0.0008492575595283331,9.68,0.008571369470625846
KKSG18,-0.6982427697904798,0.48,3489693.02873702,0.0008457590769045348,9.7,0.0
LeoI,-4.240478591960207,0.98,104845.88833005453,1.177181531744788,0.26,0.0
[CKT2009]d1009+70,-1.3882427697904798,0.48,3489693.02873702,0.0009824379203203417,9.0,0.0
[CKT2009]d1014+68,-2.9382427697904796,0.48,3489693.02873702,0.005396692677540939,3.84,0.0
[CKT2009]d1015+69,-3.46824276979048,0.48,3489693.02873702,0.004803981403204829,4.07,0.0
AGC205445,-1.6182427697904798,0.48,3489693.02873702,0.0007357384573404925,10.4,0.0
LeG17,-1.8582427697904795,0.98,3489693.02873702,0.0007357384573404925,10.4,0.0
LeG19,-2.1882427697904796,0.98,3489693.02873702,0.0007357384573404925,10.4,0.0
NGC3384,0.5017572302095201,0.98,3489693.02873702,0.0008967849895414697,9.42,0.0023290909198612703
PGC032348,-1.4682427697904799,0.98,3489693.02873702,0.0007357384573404925,10.4,0.0
AGC740112,-2.79824276979048,0.48,3489693.02873702,0.0016147894811313964,7.02,0.0
AGC205544,-1.9082427697904802,0.98,3489693.02873702,0.0007357384573404925,10.4,0.0
AGC202456,-1.5382427697904797,0.98,3489693.02873702,0.0007357384573404925,10.4,0.0
NGC3521sat,-1.4682427697904799,0.98,3489693.02873702,0.0006950604554629024,10.7,0.0
AGC213436,-1.8182427697904795,0.48,3489693.02873702,0.00075009399138418,10.3,0.0
KDG078,-1.79824276979048,0.98,3489693.02873702,0.0008119321655540013,9.9,0.0
NGC3990,-0.5582427697904797,0.98,3489693.02873702,0.00075009399138418,10.3,0.0
KDG098,-1.9282427697904798,0.48,3489693.02873702,0.0009824379203203417,9.0,0.0
PGC4555586,-1.8482427697904797,0.48,3489693.02873702,0.0011777320692209325,8.22,0.0
KK132,-2.99824276979048,0.48,3489693.02873702,0.0013562276575944288,7.66,0.0
KDG101,-1.9782427697904796,0.36,3489693.02873702,0.0015015070557969233,7.28,0.0
PGC4323538,-2.20824276979048,0.98,3489693.02873702,0.0014184907254344943,7.49,0.0
LV J1228+4358,-1.5582427697904797,0.98,3489693.02873702,0.004803981403204829,4.07,0.0
dw1240-42,-3.24824276979048,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
SUCD1,-2.70824276979048,0.98,3489693.02873702,0.0008725360768174958,9.55,0.0
HSC-9,-3.00824276979048,0.98,3489693.02873702,0.0014932908903349162,7.3,0.0
dw1241-32,-3.70824276979048,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
N4625A,-2.7682427697904797,0.98,3489693.02873702,0.0012750756536764568,7.9,0.0
HSC-10,-3.24824276979048,0.98,3489693.02873702,0.0014932908903349162,7.3,0.0
dw1243-42,-3.42824276979048,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
LV J1243+3232,-2.99824276979048,0.98,3489693.02873702,0.0014932908903349162,7.3,0.0
KK165,-2.6582427697904802,0.98,3489693.02873702,0.00272899422311206,5.4,0.0
dw1251-40,-3.8582427697904795,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1252-40,-2.7282427697904796,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1252-43,-3.8182427697904795,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1255+40,-2.6582427697904802,0.98,3489693.02873702,0.0009737630142575243,9.04,0.0
dw1257-41,-2.9782427697904796,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1258-37,-3.5982427697904797,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1301-30,-3.38824276979048,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
dw1302-40,-3.5182427697904797,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
KDG218,-2.6482427697904796,0.48,3489693.02873702,0.0031830988618379067,5.0,0.0
dw1306-29,-3.2382427697904803,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
dw1308+40,-2.5582427697904797,0.98,3489693.02873702,0.0009737630142575243,9.04,0.0
ESO269-066,-1.66824276979048,0.98,3489693.02873702,0.005658842421045168,3.75,0.0
NGC5011C,-1.41824276979048,0.48,3489693.02873702,0.005719689751665553,3.73,0.0
LV J1313+1003,-2.66824276979048,0.48,3489693.02873702,0.002843667352030177,5.29,0.0
dw1314-28,-2.8582427697904795,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
dw1318-21,-3.04824276979048,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
dw1318-44,-4.198242769790481,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1321-27,-3.3182427697904795,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
dw1322-27,-2.9382427697904796,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
dw1323-40c,-3.46824276979048,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1323-40b,-3.2782427697904795,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1323-40,-3.12824276979048,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1325-33,-3.32824276979048,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
dw1326-37,-3.66824276979048,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1327+51,-3.1082427697904795,0.98,3489693.02873702,0.0011277986330208004,8.4,0.0
dw1328-29,-3.3582427697904795,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
dw1329-45,-3.71824276979048,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1330-38,-3.95824276979048,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1331-40,-4.3382427697904795,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1331-37,-4.22824276979048,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
UGCA361,-1.9482427697904803,0.48,3489693.02873702,0.0011277986330208004,8.4,0.0
dw1337-44,-3.45824276979048,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1337-41,-3.62824276979048,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1338+50,-3.0282427697904795,0.98,3489693.02873702,0.0011277986330208004,8.4,0.0
dw1341-43,-3.2282427697904796,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1342-43,-3.3082427697904797,0.98,3489693.02873702,0.006140237002002134,3.6,0.0
dw1343-34,-3.8082427697904797,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
dw1355+51,-3.03824276979048,0.98,3489693.02873702,0.0016474814253081655,6.95,0.0
dw1357-28,-3.61824276979048,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
UGC08882,-1.9882427697904803,0.36,3489693.02873702,0.0011495913395945195,8.32,0.0
dw1401-32,-3.2382427697904803,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
dw1403-33,-3.3582427697904795,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
M101dwC,-3.5282427697904795,0.98,3489693.02873702,0.0016474814253081655,6.95,0.0
dw1406-29,-3.2382427697904803,0.98,3489693.02873702,0.0033143470031631677,4.9,0.0
dw1408+56,-2.7282427697904796,0.98,3489693.02873702,0.0016474814253081655,6.95,0.0
