   Name           	     J2000.0     	 T  	   D   	 logM* 	 logMHI 	 logSFRFUV	 logSFRHa	  SB  	  Th1  	  Thj  
 NGC0925                  	 022716.0+333441 	7	9.55	10.14	9.6	0.12	-0.01	24.1	1.01	0.54
 NGC4594                  	 123959.1-113723 	1	9.55	11.32	8.38	-0.51	-1	22	2.73	-0.01
 DDO019                   	 022500.2+360216 	10	9.55	8.03	8.34	-1.65	-1.82	25.9	0.32	1.07
 Halogas                  	 022720.0+335730 	10	9.55	7.14	7.14	-3	-2.79	24.6	2.77	1.05
 NGC4460                  	 122845.8+445152 	1	9.59	9.66	8.08	-1.47	-0.76	23.9	-0.49	1.41
 UGC00064                 	 000744.0+405232 	10	9.6	8.15	8.58	-1.63	-1.51	25	-1.88	-0.96
 UGCA193                  	 100236.2-060043 	7	9.7	8.5	8.55	-1.45	-1.87	25.7	1.52	1.71
 KKSG15                   	 095510.5-061612 	10	9.7	8.24	7.77	-2.31	-2.77	24.1	0.92	1.71
 MCG -01-26-009           	 100133.6-063130 	10	9.7	7.85	7.71	-2.32	-2.31	24.9	1.77	1.72
 KKSG17                   	 100138.4-081456 	10	9.7	8.17	7.72	-2.42	-3.11	24.9	2.25	1.71
 NGC0855                  	 021403.7+275238 	0	9.73	9.37	8.45	-1.59	-1.11	24.1	-0.93	-0.73
 ESO104-044               	 191123.1-641309 	10	9.73	8.31	8.47	-2.15	-2.61	24.7	1.85	1.66
 NGC4534                  	 123405.5+353106 	8	9.8	8.82	9	-0.73	-0.96	24.1	-0.13	1.3
 ESO300-014               	 030937.8-410150 	8	9.8	9.3	8.65	-1.07	-1.42	25.7	0.36	1.71
 IC4951                   	 200931.8-615102 	8	9.8	8.92	8.75	-1.13	-1.4	24.7	-0.32	-0.66
 CGCG 262-028             	 074732.1+511129 	9	9.8	8.18	8.13	-1.42	-1.39	23.2	-1.33	-1.6
 IC3591                   	 123703.0+065536 	9	9.8	8.66	8.24	-1.58	-1.19	23.5	-0.4	1.59
 NGC2683                  	 085240.9+332502 	3	9.82	10.81	9.14	-0.02	-0.1	23.3	-0.05	-1.17
 NGC3344                  	 104330.2+245525 	4	9.82	10.33	9.44	-0.13	-0.08	23.3	-0.29	-1.22
 NGC2784                  	 091219.4-241018 	-2	9.82	10.8	        	-1.21	-1.06	23.1	3.08	1.02
 LV 0853+3318             	 085326.8+331819 	10	9.82	6.49	        	-3.56	-3.16	25.7	4.27	1.56
 DDO052                   	 082828.5+415124 	10	9.86	8.36	8.28	-1.91	-2.43	25	-0.82	-0.21
 NGC3556                  	 111131.0+554026 	6	9.9	10.52	9.42	0.1	-0.04	21.8	-1.21	-0.29
 DDO092                   	 111326.1+533542 	9	9.9	8.02	8.32	-1.61	-1.76	24.9	0.88	1.28
 ESO473-024               	 003122.5-224557 	10	9.9	7.72	8.18	-1.94	-2.1	25.9	-1.91	-1.09
 NGC0891                  	 022232.8+422048 	3	9.95	10.98	9.66	-0.28	-0.09	23.7	0.33	-0.07
 NGC3351                  	 104357.7+114213 	3	9.95	10.65	8.94	-0.33	-0.18	23.2	0.81	1.87
 NGC4861                  	 125902.0+345137 	9	9.95	9.13	8.86	-0.59	-0.25	24.2	-0.57	-0.32
 UGC01807                 	 022113.4+424546 	8	9.95	7.89	8.56	-1.65	-1.8	26.3	3.24	1.73
 DDO022                   	 023254.0+384050 	10	9.95	8.07	8.11	-2.38	-2.32	25.3	0.44	1.82
 UGC08105                 	 125958.1+020258 	9	9.99	7.99	7.82	-2.24	-1.51	25.1	-0.28	1.22
 NGC1744                  	 045958.2-260136 	7	10	9.42	9.35	-0.2	-0.59	24.1	0.1	-0.49
 ESO486-021               	 050319.7-252523 	9	10	8.74	8.47	-1.33	-1.48	23.8	0.77	0.17
 UGC07642                 	 123013.8+023730 	9	10	8.15	7.73	-1.95	-2.19	23.8	1.17	1.81
 KDG058                   	 094027.0+000233 	10	10	7.47	        	-3.04	-4.34	24.8	-0.72	-2.44
 NGC4597                  	 124012.9-054757 	8	10.1	9.48	9.12	-0.7	-0.75	24.5	0.19	-0.04
 NGC4509                  	 123306.8+320530 	9	10.1	8.72	7.98	-1.26	-1.21	22.5	0.81	1.3
 NGC0628                  	 013641.3+154712 	5	10.19	10.6	9.73	0.14	0.23	23.5	-0.25	-0.54
 UGC03600                 	 065540.0+390542 	8	10.19	8.05	8.07	-1.96	-2.44	25.9	-2.03	      
 UGC05209                 	 094504.2+321418 	10	10.19	7.88	7.53	-2.44	-2.96	24.2	-1.03	-1.59
 UGC01056                 	 012847.2+164117 	9	10.2	8.54	7.93	-1.86	-1.66	23.2	0.92	1.35
 UGC01171                 	 013944.8+155358 	10	10.2	8.09	7.71	-2.52	-3.59	24.8	2.26	1.35
