 Name           	     J2000.0     	 T  	   D   	 logM* 	 logMHI 	 logSFRFUV	 logSFRHa	  SB  	  Th1  	  Thj  
 KK180                    	 130429.9+174532 	-2	4.4	7.36	        	 <-5.06   	         	25.6	0.96	1.24
 CenA-MM-Dw5              	 131952.4-415937 	-2	3.42	5.54	 <6.44  	 <-4.96   	         	28.2	1.6	1.88
 CenA-MM-Dw4              	 132302.6-414710 	-2	3.91	6.91	 <6.56  	 <-4.83   	         	25.9	1.77	1.88
 NGC5128                  	 132528.9-430100 	-2	3.68	10.89	8.44	-0.65	-0.06	23.7	0.59	1.5
 CenA-MM-Dw6              	 132557.6-410539 	-2	3.6	6.26	 <6.48  	 <-4.94   	         	27.2	2.42	1.88
 dw1326-29                	 132604.0-292416 	-2	4.9	6.88	 <6.75  	 <-4.83   	         	25.7	1.95	1.65
 CenA-MM-Dw7              	 132628.7-433324 	-2	3.39	6.12	 <6.43  	 <-4.99   	         	27.9	1.52	1.88
 CenA-MM-Dw2              	 132957.3-415223 	-2	3.6	6.05	        	 <-4.88   	         	28.1	2.66	1.88
 dw1330-34                	 133002.0-340014 	-2	4.9	6.79	 <6.75  	 <-4.85   	         	25.4	1.17	1.62
 dw1330-33                	 133004.0-335006 	-2	4.9	6.2	 <6.75  	 <-4.83   	         	25.6	1.35	1.62
 CenA-MM-Dw1              	 133014.3-415336 	-2	3.63	7.98	 <7.60  	 <-4.88   	         	26.2	2.88	1.88
 CenA-MM-Dw3              	 133021.5-421133 	-2	4.61	7.88	 <6.70  	 <-4.71   	         	28.1	0.01	1.65
 CenA-MM-Dw9              	 133301.5-423148 	-2	3.8	6.92	 <6.53  	 <-4.90   	         	26.3	2.37	1.88
 CenA-MM-Dw8              	 133334.1-413628 	-2	3.47	6.49	 <6.45  	 <-5.07   	         	28	1.74	1.88
 dw1335-29                	 133546.0-294224 	-2	5.01	6.79	 <6.77  	 <-4.87   	         	26.7	2.86	1.65
 dw1336-32                	 133633.0-321805 	-2	4.9	7.19	 <6.75  	 <-4.85   	         	26.9	1.94	1.62
 dw1337-26                	 133713.0-264810 	-2	4.9	7.08	 <6.75  	 <-4.84   	         	27.2	1.64	1.65
 dw1340-30                	 134019.0-302135 	-2	4.9	6.87	 <6.75  	 <-4.85   	         	26.1	3.28	1.62
 dw1341-33                	 134113.0-334930 	-2	4.9	7.06	 <6.75  	 <-4.88   	         	27.3	1.27	1.62
 KK211                    	 134205.6-451218 	-2	3.68	7.75	 <5.78  	 <-4.92   	 <-5.39  	25.1	1.8	1.88
 M101Dw9                  	 135544.6+550845 	-2	6.95	6.17	        	 <-4.71   	         	26.9	2.2	1.56
 KK227                    	 135610.1+401812 	-2	9.04	7.88	        	 <-4.48   	         	25.3	-0.23	-1.36
 BootesII                 	 135808.0+125054 	-2	0.04	3.7	 <1.62  	-8.9	         	29	3.8	1.75
 BootesI                  	 140005.0+143015 	-2	0.07	5.15	 <2.39  	 <-8.73   	         	28.7	3.2	1.75
 M101Dw10                 	 140140.4+550057 	-2	6.95	5.69	        	 <-4.71   	         	26.9	3.04	1.56
 M101-df3                 	 140305.7+533656 	-2	6.52	7.27	        	 <-4.76   	         	26.9	0.89	1.56
